X,Y,ObjectId,tid,stanoviste_ogc_fid,typ_odpad_separovany,komodita_odpad_separovany,objem,cyklus_vyvozu,majitel,vyvoz_1,vyvoz_2,vyvoz_3,vyvoz_4,vyvoz_5,vyvoz_6,vyvoz_7,vyvoz_1_zacatek,vyvoz_2_zacatek,vyvoz_3_zacatek,vyvoz_4_zacatek,vyvoz_5_zacatek,vyvoz_6_zacatek,vyvoz_7_zacatek,vyvoz_1_interval,vyvoz_2_interval,vyvoz_3_interval,vyvoz_4_interval,vyvoz_5_interval,vyvoz_6_interval,vyvoz_7_interval,nazev,ulice,cp,verejnost,datum_exportu,GlobalID
1849713.001,6308725.7292,4436,18726,8173,,Papír,240,1x týdně,SAKO,N,A,N,N,N,N,N,,2019/01/15 00:00:00+00,,,,,,,7,,,,,,Příční 26 - v domě,Příční,132,N,2023/04/19 00:00:00+00,{DF44C63F-1EF8-4FCE-80CA-3B8598E4A43A}
1847945.5146,6310396.4927,4437,16637,6927,,Papír,240,1x týdně,SAKO,N,A,N,N,N,N,N,,2019/11/12 00:00:00+00,,,,,,,7,,,,,,Dřevařská 24 - v domě,Dřevařská,805,N,2023/04/19 00:00:00+00,{ACDFCE6C-588A-42C1-9E10-F597B7E021C8}
1848160.4948,6306694.5337,4438,19080,8391,,Papír,240,1x týdně,SAKO,N,N,A,N,N,N,N,,,2019/01/30 00:00:00+00,,,,,,,7,,,,,Bezručova 19 - v domě,Bezručova,957,N,2023/04/19 00:00:00+00,{0E54EC9D-BEEC-4293-8FD0-1EF46023CDE8}
1847888.6638,6308394.8428,4439,15760,6330,,Papír,240,1x týdně,SAKO,N,N,A,N,N,N,N,,,2019/07/10 00:00:00+00,,,,,,,7,,,,,Údolní 23 - v domě,Údolní,523,N,2023/04/19 00:00:00+00,{ADCD9DD5-D576-4EC7-BDAA-77C98DC9FB06}
1846285.0286,6308170.165,4440,23654,10378,,Biologický odpad,240,1x14 sudý,SAKO,N,N,A,N,N,N,N,,,2021/05/19 00:00:00+00,,,,,,,14,,,,,Lerchova 5 - v domě ,Lerchova,296,N,2023/04/19 00:00:00+00,{11F6B20A-0B72-4A15-9F55-34EBD8644B37}
1848807.2722,6307932.2403,4441,22139,3640,,Papír,240,2x týdně,SAKO,A,N,N,A,N,N,N,2019/01/28 00:00:00+00,,,2019/01/31 00:00:00+00,,,,7,,,7,,,,nám. Svobody 18 - v domě,náměstí Svobody,87,N,2023/04/19 00:00:00+00,{0841F2BC-8585-4F41-9FC4-D56FEA70BBB4}
1846259.0355,6308851.4739,4442,16948,7062,,Papír,240,1x týdně,SAKO,N,N,A,N,N,N,N,,,2019/07/10 00:00:00+00,,,,,,,7,,,,,Údolní 85 - v domě,Údolní,558,N,2023/04/19 00:00:00+00,{8E3E82E3-2280-4AB3-B06C-34BA29E1C065}
1846215.2201,6312091.158,4443,25890,10180,,Biologický odpad,240,1x týdně,SAKO,N,N,N,A,N,N,N,,,,2022/04/21 00:00:00+00,,,,,,,7,,,,Hradecká 18,Hradecká,1882,A,2023/04/19 00:00:00+00,{E9826D3E-642A-4EA3-A94B-6687AD49B5EE}
1845790.347,6308383.0031,4444,21517,5069,Sklo duo - bílé,Sklo bílé,1125,1x14 lichý,SAKO,A,N,N,N,N,N,N,2022/02/14 00:00:00+00,,,,,,,14,,,,,,,Barvičova x B.Martinů,Barvičova,25,A,2023/04/19 00:00:00+00,{D68481CA-77DA-476A-AFE5-1D51B87B010C}
1846042.1962,6309005.8761,4445,16952,7064,,Papír,240,1x týdně,SAKO,N,N,A,N,N,N,N,,,2019/07/10 00:00:00+00,,,,,,,7,,,,,Údolní 93 - v domě,Údolní,560,N,2023/04/19 00:00:00+00,{0810F6CC-EA29-414F-A262-D29B03EAD418}
1845988.2174,6317168.5036,4446,9023,3290,Sklo duo - barevné,Sklo barevné,1125,1x14 sudý,SAKO,N,N,A,N,N,N,N,,,2022/02/09 00:00:00+00,,,,,,,14,,,,,Horácké nám. 5,Marie Hübnerové,1708,A,2023/04/19 00:00:00+00,{66D97455-62E3-4319-AD1C-A2A4F8EDBC0A}
1844582.4971,6308789.8024,4447,4917,2650,,Sklo barevné,240,1x týdně,SAKO,A,N,N,N,N,N,N,2019/08/19 00:00:00+00,,,,,,,7,,,,,,,Preslova 85 - konečná MHD,Preslova,119,A,2023/04/19 00:00:00+00,{FD993EF5-E2B9-45BA-AF9B-FD850C0859E9}
1839508.9332,6311417.5625,4448,5008,2682,,Sklo barevné,240,1x týdně,SAKO,N,A,N,N,N,N,N,,2019/08/13 00:00:00+00,,,,,,,7,,,,,,Černého 25-27,Černého,791,A,2023/04/19 00:00:00+00,{D82DACBE-8714-4088-82C1-FAA356CCC00C}
1841407.9881,6308042.8973,4449,25954,3522,,Biologický odpad,240,1x týdně,SAKO,N,A,N,N,N,N,N,,2022/04/19 00:00:00+00,,,,,,,7,,,,,,Richtrova 5,Richtrova,387,A,2023/04/19 00:00:00+00,{94C252E9-52EB-4508-91FE-CF2F00A7FC16}
1845523.1802,6308678.1815,4450,8286,3818,Sklo duo - bílé,Sklo bílé,1125,1x14 lichý,SAKO,A,N,N,N,N,N,N,2022/02/14 00:00:00+00,,,,,,,14,,,,,,,Barvičova 53,Barvičova,833,A,2023/04/19 00:00:00+00,{626655BC-93E4-4C13-B6C1-3D792BCC2744}
1839790.5715,6312755.7739,4451,4194,2428,,Sklo barevné,240,1x týdně,SAKO,N,A,N,N,N,N,N,,2019/08/13 00:00:00+00,,,,,,,7,,,,,,Vondrákova 40,Vondrákova,652,A,2023/04/19 00:00:00+00,{D6EABB4B-E9BE-4FAB-A729-D1FEFB05136D}
