tid,nazev,verejnost
16253,Kamínky 6,1
12200,Štouračova 1,1
13636,Ondrova x U luhu,1
14378,Žižkova 58,1
11692,Gabriely Preissové 8,1
13439,Tovačovského 15,1
12672,Štouračova 2,1
12734,Vrbenského  7,1
12392,Boettingrova 5,1
16250,Koniklecova 8,1
22711,Opálkova 19,1
18157,U kaple - MŠ,1
11879,Kubíčkova 19,1
20443,Kachlíkova 2,1
19902,Kuršova 32 -34,1
11801,Kachlíkova 13,1
16302,Laštůvkova 28,1
12595,Petra Křivky  1a,1
16279,Slunečná 4,1
12030,Ondrova 63,1
11632,Colova x Zeyerova,1
12741,Wollmanova 1,1
16013,Ečerova 11,1
20061,Fleischnerova 3,1
20065,Fleischnerova 19,1
12247,U zoologické zahrady 22,1
16256,Kamínky 14,1
12918,Adamcova 6,1
16021,Ečerova 7,1
13357,Ondrova x U luhu,1
12570,Oblá 2,1
11684,Filipova 1,1
13318,Fryčajova 151,1
20299,Foltýnova 15,1
12507,Kroftova 80,1
16243,"Svážná 5,7",1
12732,Vondrákova  13 - ALBERT,1
11864,Krkoškova x Mathonova,1
12074,Pflégrova x Sládkova,1
17157,Jindřichova 6,1
11750,Chytilova x Řezáčova,1
12404,Buchtova x Míčkova,1
12701,Ulrychova 1,1
12022,Oblá 69,1
12191,Škroupova 1,1
12718,Vavřinecká 5,1
16281,Slunečná 8,1
11593,Běly Pažoutové 1,1
11796,"Jundrovská - vozovna,parkoviště",1
11883,Kuršova 16,1
21657,Křepelčí 9,0
12106,Přeh. Osada,1
21182,"Vejrostova - 4,5,6",1
12186,Svážná 23,1
16283,Svážná 32,1
11721,Hlaváčova 83,1
16245,Plachty 2,1
13197,Fryčajova 43,1
12744,Zákoutí x Ostrá,1
12427,Gabriely Preissové 4,1
12610,Potácelova 81,1
16083,Horova 31,1
11687,Foltýnova 37,1
12078,Plovdivská 8,1
20117,Foltýnova 23,1
16081,Klímova 2,1
12602,Pod kaštany x Šumavská,1
11823,Kluchova 1,1
16247,Plachty 12,1
11995,nám. Svornosti 7 - TŘÍĎOUN,0
12530,Lieberzeitova x Vranovská,1
11592,Běly Pažoutové 1,1
20606,Ulrychova 12,1
12321,Vodova 97,1
12111,Purkyňova 97,1
21917,Heyrovského 6,1
21808,Štouračova 2,1
12436,Heyrovského 8,1
11747,Chodská 5 - TŘÍĎOUN,0
12493,Kamínky 28,1
20297,Kachlíkova 5,1
21805,Černého 39,1
11746,Chodská 19,1
12514,Kubíčkova x Páteřní,1
15401,Novodvorská 1-3,1
12205,Tábor 30a,1
22575,Purkyňova 48-50,0
12531,Lísky 1,1
10345,Dobrovského x Slovinská,1
13560,Herčíkova 23,1
11896,Laštůvkova 65,1
11781,Jindřichova 10-12,1
12600,Plovdivská 6 - MŠ,1
17141,Nad přehradou 24,1
22640,Vychodilova 12,1
12029,Ondrouškova 15,1
22657,Božetěchova 102,1
16015,Ečerova 15,1
14718,Ondrouškova 4,1
17151,Foltýnova 33,1
20478,Větrná 12,1
12583,Opálkova 14,1
12569,Oblá 14,1
12572,Oblá 27,1
23186,Lidická 63 - v domě,0
12021,Oblá 69,1
18254,Bráfova 13,1
13138,Podveská 27-29,1
21437,Křepelčí 3,0
19908,Podlesí 17-19,1
17149,"Foltýnova 7,9",1
11254,Ivanovické nám. x Pastevní,1
12458,Ivanovické nám. x Pastevní,1
12176,Stránského 28,1
12494,Kamínky 28,1
16258,Kamínky 35a,1
12424,Foltýnova 19,1
11843,Koniklecová 4,1
12187,Svážná 8,1
22643,Vychodilova 16,1
10321,Rosického nám. 8,1
18253,Vavřinecká 15,1
12362,Zborovská x nám. Svornosti,1
12637,"Říčanská 25,27",1
13877,Sochorova 48,1
12416,Došlíkova 44,1
12415,Došlíkova 44,1
23206,Vomáčkova 4,1
20697,Laštůvkova 23,1
12916,Ondrouškova 16,1
21807,Černého 39,1
11676,Ečerova 2a,1
20300,Foltýnova 17,1
22649,Oblá 33-35,1
14276,Jakuba Obrovského 19,1
22650,Oblá 33-35,1
11921,Luční 26,1
11904,Lesní x Šťastného,1
16289,"Oblá 5,7,9,11,13",1
12126,Rosického nám. 8,1
12019,Oblá 56,1
22990,Zahradníkova x Tučkova,1
12185,Svážná 16,1
12582,Ondříčkovo nám.,1
12537,Meluzínova x Komprdova,1
12137,"Říčanská 25,27",1
12296,Větrná 2,1
22993,U Červeného mlýna 2,1
17479,Kamínky 20,1
12076,Plachty 8 - 10,1
16241,Svážná 3,1
20071,Kuršova 24,1
19979,Nad Přehradou 12,1
16019,Ečerova 3,1
12193,Šmejkalova x  Jana Nečase,1
16277,Slunečná 2,1
12702,Úpatní 44,1
12075,Píškova 2-12,1
11872,Křenová x Vlhká,1
12063,Pěkná 51,1
12169,Staňkova 14 - TŘÍĎOUN,0
12896,Dvorecká 4 - ZŠ,1
12622,Rebešovická x K sídlišti,1
23163,Absolonova 51,1
14180,Holásecká x Rolencová ,1
18497,Líšeňská 50-54,1
22432,Svahová 2,1
11744,Charvatská 2,1
19420,Skorkovského x Otakara Ševčíka,1
19418,Otakara Ševčíka x Táborská,1
13677,Blümlova 3,1
13559,Herčíkova 23,1
22599,Šaumannova 4,1
22565,Chudčická 13,1
14076,U Vlečky 2,1
11624,Břeclavská 12,1
12712,V rejích 18,1
16561,Kristenova 27,1
22560,Záhumní 10,1
14017,Heyrovského 32 - TŘÍĎOUN,0
15397,Došlíkova 48 - TŘÍĎOUN,0
18502,Olomoucká 118,1
12573,Oblá 43,1
12175,Stránského 28,1
12328,Voroněžská 2,1
12676,Jana Babáka x Tererova,1
11925,Lužná 3,1
12077,Plotní 32,1
12161,Spáčilova 15,1
12347,Wainerovo náměstí 7,1
12726,Vídeňská x Vojtova,1
12240,Tylova  5,1
12241,Tylova  5,1
11953,Merhautova  51,1
12320,Vodova 97,1
12781,Kosmova 1,1
12297,Veveří 112,1
12728,Viniční x Balbínova,1
11735,Húskova 19,1
15617,Lužánecká 2,1
11646,Dalimilova - LIDL,1
11717,Herčíkova 3,1
11815,Charbulova x Olomoucká,1
13799,Voříškova 53,1
16377,Výletní,1
12237,Turgeněvova 18,1
12336,Voříškova 53,1
11693,Gajdošova 3,1
12312,Viniční - Meluzínova,1
11852,Kosmákova 40,1
12327,Voroněžská10,1
11645,Dalimilova - LIDL,1
17400,Charbulova SŠ,1
12046,Pavlovská 18,1
12330,Voříškova 17,1
12332,Voříškova 23,1
12399,bratří Žůrků 2 - u SSO,1
11739,Hvězdová 5,1
13817,Plotní 32,1
14897,Vídeňská x Vojtova,1
17020,Viniční 151,1
20658,Viniční x Balbínova,1
16117,Taussigova 28,1
13216,Vodova 97,1
15737,Kosmova x Božetěchova,1
11741,Hybešova 30,1
13777,Kosmova 1,1
15259,Hybešova 30,1
11909,Libušino údolí  154,1
11911,Libušino údolí 2,1
12047,Pavlovská 25,1
12049,Pavlovská 5a,1
12400,bratří Žůrků 2 - u SSO,1
14198,Botanická 59,1
12329,Voříškova 1,1
13918,Lýskova 17,1
12230,Tř. kpt. Jaroše 20,1
11607,Borodinova 2,1
10352,Libušino údolí 2,1
12050,Pavlovská 5a,1
12592,Pavlovská 6,1
15638,Jeřábkova x Nám. 28. října,1
12303,Veveří 40,1
12779,Chaloupkova 1,1
12778,Chaloupkova 1,1
12382,Bayerova 10,1
12199,Štefánikova 23,1
11577,Bayerova 10,1
12198,Štefánikova 23,1
21181,Čápkova x Jana Uhra,1
11634,"Čápkova 17,19",1
16027,Hoppova,1
16197,Hoppova,1
12403,Březinova x Tichého,1
11614,Botanická 57,1
12410,Černého 32,1
11575,Bartošova x Třída Kpt. Jaroše,1
11560,Absolonova 51,1
11941,Mazourova 1 - MŠ,1
11942,Mazourova 1 - MŠ,1
14197,Domažlická 2,1
11943,Mazourova 1 - MŠ,1
11814,Kamechy x Chvalovka,1
11988,Živného,1
11989,Živného,1
11990,Živného,1
11862,Krásného 73,1
11638,Černého 2,1
11639,Černého 44 - 46,1
20475,Chudčická-Žabí,1
20861,Žabí x Chvalovka,1
13797,Voříškova 23,1
15100,Cihlářská 42,1
15099,Cihlářská 42,1
12685,tř. kpt. Jaroše divadlo - zadní vjezd,1
11782,Jiránkova x Štolcova,1
17145,Teyschlova 10,1
18558,Krásného 73,1
14177,Říčanská - Albert,1
12483,Juliánovské nám. 2,1
12482,Juliánovské nám. 2,1
12087,Potácelova 81,1
15178,Teyschlova 25 -27,1
15377,Chudčická-Žabí,1
12638,Říčanská x Křepelčí,1
12496,Kavčí 14,1
11928,Makovského nám. 2,1
12639,Sadařská x Bystrcká,1
16118,Taussigova 28,1
11930,Makovského nám. 2,1
12587,Palackého tř. x Antonína Macka,1
11697,Glinkova 6,1
11787,Jírovcova 44,1
12214,Teyschlova 16,1
12088,Potocká 62,1
22298,Běly Pažoutové 14,1
22318,Kavčí 10,1
12527,Libušina tř. 17,1
11572,Axmanova 11,1
11929,Makovského nám. 2,1
20069,Kuršova 10,1
11749,Chopinova 5,1
12528,Libušina tř. 8,1
21682,Sabinova 4,1
12520,Kuršova 6,1
20067,Kuršova 12,1
22275,Novodvorská 2,1
22276,Kubíčkova x Páteřní,1
16082,Klímova 2,1
12858,Svatopluka Čecha 101a,1
15582,Kudelova 8,1
12717,Vaňhalova 1,1
16237,Oblá 33-35,1
22268,Hrnčířská x Bayerova,1
12206,Tábor 45,1
12020,Oblá 34,1
12798,Oblá 83,1
12024,Oblá 79,1
12207,Tábor 45,1
12139,Říčanská x Vlaštovčí,1
12108,Příkop 27b,1
12618,Příkop 27b,1
12233,Tučkova 2,1
16304,Selská 92,1
12571,Oblá 21,1
16293,Oblá 54-56,1
12599,Petrůvky x Slévačská,1
11849,Korejská 7,1
11836,Koliště 19 (úřad),1
12591,Pastrnkova x Tomáškova,1
12624,Rerychova 14,1
22302,Jakuba Obrovského 2,1
12796,Oblá 81,1
22803,Vranovská 27,1
16557,Markéty Kuncové x Skopalíkova,1
11999,Nejedlého 3 - TŘÍĎOUN ,0
22061,Šmejkalova x Fanderlíkova,1
12105,Přadlácká 30,1
12017,Oblá 43,1
